Account,date,classification,value,Daily_PnL,Avg_Trade_Size,Total_Volume,Num_Trades,Long_Ratio,Taker_Ratio,Win_Rate,PnL_Bucket,Sentiment_Numeric,Binary_Target
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,Greed,74.0,-328618.795706,14810.891818181817,6842632.02,462,0.3008658008658009,0.11904761904761904,0.025974025974025976,Low/Loss,4,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,Fear,44.0,1921443.303381,16345.241939809297,54854631.95,3356,0.4684147794994041,0.11114421930870083,0.40554231227651966,High,2,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,Greed,74.0,20405.27894192,2492.74990625,797679.97,320,0.453125,0.921875,0.53125,Medium,4,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,Fear,44.0,15433.81238538,1693.3516841211435,5982611.5,3533,0.4324936314746674,0.9714123973959807,0.43475799603736204,Medium,2,0
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,Neutral,50.0,-11.197932000000002,6070.2,30351.0,5,0.4,1.0,0.0,Low/Loss,3,0
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,Greed,74.0,1758.4981639999999,31941.660000000003,159708.30000000002,5,0.6,0.8,0.8,Low/Loss,4,0
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,Fear,44.0,26326.73116,10836.90096830986,12310719.5,1136,0.4454225352112676,0.5035211267605634,0.386443661971831,Medium,2,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,Greed,74.0,120801.0892227,483.5901143386898,3129795.22,6472,0.476823238566131,0.9568912237330037,0.43896786155747836,High,4,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,Fear,44.0,9297.5682108491,533.2378127759788,3622817.7,6794,0.5307624374448042,0.934206652929055,0.42861348248454517,Medium,2,0
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,Greed,74.0,51478.504979,2941.8256880733943,2244613.0,763,0.399737876802097,0.9056356487549148,0.4705111402359109,Medium,4,0
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,Fear,44.0,114042.231075,3205.000631323351,7919556.5600000005,2471,0.3528935653581546,0.7110481586402266,0.5325779036827195,High,2,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,Greed,59.0,0.0,159.0,477.0,3,1.0,1.0,0.0,Low/Loss,4,0
